710	-200		36	57
711	-200		37	57
712	-19		38	57
713	-50		44	57
714	-382.83		10	57
715	3920.44		0	58
716	0.02		6	58
717	-917.54		8	58
718	-250		13	58
719	-100		14	58
720	-92		15	58
721	0		18	58
722	-97		16	58
723	-25		19	58
724	-12.5		21	58
725	-125		20	58
726	-350		17	58
727	-457.5		22	58
728	-125		26	58
729	0		30	58
730	0		31	58
731	0		34	58
732	-43		32	58
733	-100		35	58
734	-200		36	58
735	-200		37	58
736	-19		38	58
737	-50		44	58
738	-382.83		10	58
739	3920.44		0	59
740	0.02		6	59
741	-917.54		8	59
742	-250		13	59
743	-100		14	59
744	-92		15	59
745	0		18	59
746	-97		16	59
747	-25		19	59
748	-12.5		21	59
749	-125		20	59
750	-350		17	59
751	-457.5		22	59
752	-125		26	59
753	0		30	59
754	0		31	59
755	0		34	59
756	-43		32	59
757	-100		35	59
758	-200		36	59
759	-200		37	59
760	-19		38	59
761	-50		44	59
762	-382.83		10	59
763	3920.44		0	60
764	0.02		6	60
765	-917.54		8	60
766	-250		13	60
767	-100		14	60
768	-92		15	60
769	0		18	60
770	-97		16	60
771	-25		19	60
772	-12.5		21	60
773	-125		20	60
774	-350		17	60
775	-457.5		22	60
776	-125		26	60
777	0		30	60
778	0		31	60
779	0		34	60
780	-43		32	60
781	-100		35	60
782	-200		36	60
783	-200		37	60
784	-19		38	60
785	-50		44	60
786	-382.83		10	60
787	3920.44		0	61
788	0.02		6	61
789	-917.54		8	61
790	-250		13	61
791	-100		14	61
792	-92		15	61
793	0		18	61
794	-97		16	61
795	-25		19	61
796	-12.5		21	61
797	-125		20	61
798	-350		17	61
799	-457.5		22	61
800	-125		26	61
801	0		30	61
802	0		31	61
803	0		34	61
804	-43		32	61
805	-100		35	61
806	-200		36	61
807	-200		37	61
808	-19		38	61
809	-50		44	61
810	-382.83		10	61
859	3920.44		0	64
860	0.02		6	64
861	-917.54		8	64
862	-250		13	64
863	-100		14	64
864	-92		15	64
865	0		18	64
866	-97		16	64
867	-25		19	64
868	-12.5		21	64
869	-125		20	64
870	-350		17	64
871	-457.5		22	64
872	-125		26	64
873	0		30	64
874	0		31	64
875	0		34	64
876	-43		32	64
877	-100		35	64
878	-200		36	64
879	-200		37	64
880	-19		38	64
881	-50		44	64
882	-382.83		10	64
883	4816.58		0	65
884	0.02		6	65
885	-1167.54		8	65
886	-250		13	65
887	-110		14	65
888	-92		15	65
889	0		18	65
890	-117		16	65
891	-85		19	65
892	-12.5		21	65
893	-125		20	65
894	-350		17	65
895	-457.5		22	65
896	-125		26	65
897	-35		30	65
898	-90		31	65
899	-35		34	65
900	-40		32	65
901	-200		35	65
902	-200		36	65
903	-200		37	65
904	-20		38	65
905	-50		44	65
906	-382.83		10	65
907	-300		51	65
908	4816.58		0	66
909	0.02		6	66
910	-1167.54		8	66
911	-250		13	66
912	-110		14	66
913	-92		15	66
914	0		18	66
915	-117		16	66
916	-85		19	66
917	-12.5		21	66
918	-125		20	66
919	-350		17	66
920	-457.5		22	66
921	-125		26	66
922	-35		30	66
923	-90		31	66
924	-35		34	66
925	-40		32	66
926	-200		35	66
927	-200		36	66
928	-200		37	66
929	-20		38	66
930	-50		44	66
931	-382.83		10	66
932	-300		51	66
933	4816.58		0	67
934	0.02		6	67
935	-1167.54		8	67
936	-250		13	67
937	-110		14	67
938	-92		15	67
939	0		18	67
940	-117		16	67
941	-85		19	67
942	-12.5		21	67
943	-125		20	67
944	-350		17	67
945	-457.5		22	67
